type,uri,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
skos:Concept,ct:pvcaangescherpt30mm,pvcaangescherpt30mm,colt:bemonsteringsinstrumenten,,PVC aangescherpte buis 30mm,,ct:buis,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:pomp,pomp,colt:bemonsteringsinstrumenten,,Pomp,,,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:zuigpomp,zuigpomp,colt:bemonsteringsinstrumenten,,Zuigpomp,,ct:pomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:slangenpomp,slangenpomp,colt:bemonsteringsinstrumenten,,Slangenpomp of Peristaltische pomp,,ct:zuigpomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:bovcentrifugaalpomp,bovcentrifugaalpomp,colt:bemonsteringsinstrumenten,,Bovengrondse centrifugaalpomp,,ct:zuigpomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:vacuumpomp,vacuumpomp,colt:bemonsteringsinstrumenten,,Vacuumpomp,,ct:zuigpomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:perspomp,perspomp,colt:bemonsteringsinstrumenten,,Perspomp,,ct:pomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:balgpomp,balgpomp,colt:bemonsteringsinstrumenten,,Balgpomp (Gasdruksysteem),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dubkleppomp,dubkleppomp,colt:bemonsteringsinstrumenten,,Dubbele kleppomp,,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:pulsslang,pulsslang,colt:bemonsteringsinstrumenten,,Pulsslang (Kogelkleppomp),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
skos:Concept,ct:dompelpompond,dompelpompond,colt:bemonsteringsinstrumenten,,Dompelpomp (Onderwatercentrifugaalpomp),,ct:perspomp,,,,,,,,,,,cs:bemonsteringsinstrument,,,,,,,cs:bemonsteringsinstrument
